Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
runtime_seconds,Overall,3.0,AOSA,75.23201849460602,75.69133567810059,60,False,False
runtime_seconds,Overall,4.0,LV-Univ-Pred,92.01807488997777,96.31901836395264,60,False,False
runtime_seconds,Overall,5.0,LV-LOCO,92.28858404954275,96.55861496925354,60,False,False
runtime_seconds,Overall,6.0,3D-RISE,440.54073233207066,440.8948278427124,60,False,False
runtime_seconds,Overall,7.0,3D-LIME,443.0010312159856,443.3064591884613,60,False,False
runtime_seconds,Overall,8.0,3D-Kernel-SHAP,459.5613276720047,454.68197321891785,60,False,False
runtime_seconds,Overall,9.0,3D-Sampled-Occl-Sens,474.2893380244573,474.8412551879883,60,False,True
sparsity_80,EtriActivity3D,1.0,GradCAM,0.0903233506944444,0.0857747395833333,30,True,False
sparsity_80,EtriActivity3D,2.0,SaliencyTubes,0.27271701388888886,0.1748372395833333,30,False,False
sparsity_80,EtriActivity3D,3.0,AOSA,0.41238091914784075,0.3074570160095288,30,False,False
sparsity_80,EtriActivity3D,4.0,3D-Sampled-Occl-Sens,0.44453165881737305,0.6334379905808478,30,False,False
sparsity_80,EtriActivity3D,5.0,LV-LOCO,0.5452397028605144,0.7046218872070313,30,False,False
sparsity_80,EtriActivity3D,6.0,3D-Kernel-SHAP,0.5738783899943034,0.6993599891662599,30,False,False
sparsity_80,EtriActivity3D,7.0,3D-LIME,0.6610345840454102,0.6572338104248048,30,False,False
sparsity_80,EtriActivity3D,8.0,3D-RISE,0.6617346938775509,0.6632653061224489,30,False,False
sparsity_80,EtriActivity3D,9.0,LV-Univ-Pred,0.7397466786702473,0.7395604133605957,30,False,True
sparsity_80,Kinetics400,1.0,GradCAM,0.19221788194444442,0.18440755208333331,30,True,False
sparsity_80,Kinetics400,2.0,SaliencyTubes,0.3665907118055555,0.3430013020833333,30,False,False
sparsity_80,Kinetics400,3.0,AOSA,0.49660963473931236,0.5624119765093538,30,False,False
sparsity_80,Kinetics400,4.0,3D-Kernel-SHAP,0.6290855471293131,0.6853939056396485,30,False,False
sparsity_80,Kinetics400,5.0,3D-LIME,0.6406181271870931,0.627013111114502,30,False,False
sparsity_80,Kinetics400,6.0,3D-RISE,0.6746598639455782,0.6658163265306123,30,False,False
sparsity_80,Kinetics400,7.0,LV-Univ-Pred,0.6843992042541504,0.6855835914611816,30,False,False
sparsity_80,Kinetics400,8.0,LV-LOCO,0.7064126396179199,0.7082376480102539,30,False,False
sparsity_80,Kinetics400,9.0,3D-Sampled-Occl-Sens,0.7199895342752485,0.7268445839874411,30,False,True
sparsity_80,Overall,1.0,GradCAM,0.1412706163194444,0.1240559895833333,60,True,False
sparsity_80,Overall,2.0,SaliencyTubes,0.3196538628472222,0.2916341145833333,60,False,False
sparsity_80,Overall,3.0,AOSA,0.45449527694357655,0.4904967846513605,60,False,False
sparsity_80,Overall,4.0,3D-Sampled-Occl-Sens,0.5822605965463108,0.706436420722135,60,False,False
sparsity_80,Overall,5.0,3D-Kernel-SHAP,0.6014819685618082,0.6926067352294922,60,False,False
sparsity_80,Overall,6.0,LV-LOCO,0.6258261712392171,0.7066306114196778,60,False,False
sparsity_80,Overall,7.0,3D-LIME,0.6508263556162516,0.6372293472290038,60,False,False
sparsity_80,Overall,8.0,3D-RISE,0.6681972789115647,0.6632653061224489,60,False,False
sparsity_80,Overall,9.0,LV-Univ-Pred,0.7120729414621988,0.7232291221618652,60,False,True
temporal_consistency,EtriActivity3D,1.0,SaliencyTubes,0.9862465818723043,0.9919827878475189,30,True,False
temporal_consistency,EtriActivity3D,2.0,LV-Univ-Pred,0.9835495511690776,0.988346666097641,30,False,False
temporal_consistency,EtriActivity3D,3.0,AOSA,0.9758331696192424,0.9828458726406097,30,False,False
temporal_consistency,EtriActivity3D,4.0,3D-LIME,0.9755933145682018,0.9822349548339844,30,False,False
temporal_consistency,EtriActivity3D,5.0,3D-Kernel-SHAP,0.9749674797058105,0.9787659645080566,30,False,False
temporal_consistency,EtriActivity3D,6.0,LV-LOCO,0.9561704178651174,0.9671489000320435,30,False,False
temporal_consistency,EtriActivity3D,7.0,GradCAM,0.93975457350413,0.9546371698379517,30,False,False
temporal_consistency,EtriActivity3D,8.0,3D-RISE,0.4930614030609528,0.5599600970745087,30,False,False
