metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
iou50,EtriActivity3D,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.13333333333333333,0.3457459036417604,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,higher
iou50,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,3D-LIME-NEW,3D-LIME,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,3D-RISE-NEW,3D-RISE,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,AOSA,AOSA,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,GradCAM,GradCAM,30,0.26666666666666666,0.44977644510880355,0.0,0.0,0.75,0.75,higher
iou50,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.3333333333333333,0.47946330148538413,0.0,0.0,1.0,1.0,higher
iou50,Kinetics400,SaliencyTubes,SaliencyTubes,30,0.3,0.46609159969939906,0.0,0.0,1.0,1.0,higher
iou50,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,0.25,0.4366668823046865,0.0,0.0,0.25,0.25,higher
iou50,Overall,3D-LIME-NEW,3D-LIME,60,0.23333333333333334,0.4265218680850986,0.0,0.0,0.0,0.0,higher
iou50,Overall,3D-RISE-NEW,3D-RISE,60,0.16666666666666666,0.37582301400141443,0.0,0.0,0.0,0.0,higher
iou50,Overall,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,60,0.15,0.36008473579027556,0.0,0.0,0.0,0.0,higher
iou50,Overall,AOSA,AOSA,60,0.16666666666666666,0.37582301400141443,0.0,0.0,0.0,0.0,higher
iou50,Overall,GradCAM,GradCAM,60,0.15,0.36008473579027556,0.0,0.0,0.0,0.0,higher
iou50,Overall,LV-LOCO-NEW,LV-LOCO,60,0.26666666666666666,0.44594849085648347,0.0,0.0,1.0,1.0,higher
iou50,Overall,LV-Univ-Pred-NEW,LV-Univ-Pred,60,0.23333333333333334,0.4265218680850986,0.0,0.0,0.0,0.0,higher
iou50,Overall,SaliencyTubes,SaliencyTubes,60,0.16666666666666666,0.37582301400141443,0.0,0.0,0.0,0.0,higher
iou_value,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.2743894571179064,0.19152958185103897,0.2375583869694739,0.08197541003379732,0.402518623880759,0.32054321384696166,higher
iou_value,EtriActivity3D,3D-LIME-NEW,3D-LIME,30,0.30564251876596066,0.2122353250616225,0.28478645788237145,0.13661381887086815,0.4263531373757568,0.28973931850488865,higher
iou_value,EtriActivity3D,3D-RISE-NEW,3D-RISE,30,0.2308576850444643,0.12692617382559943,0.22786002371061184,0.13399516322852942,0.3253664238493497,0.1913712606208203,higher
